duracao_incidente,equipamento_nome,equipamento_modelo,equipamento_grupo,turno,data_inicio,data_final,data,local_nome,secao,alarme_nome,alarme_codigo,alarme_level
169,AUTO-DISPLAYS,SIMCOMBINED-C2,SIMCOMBINED-C2,1,2024-10-22 20:01:10-04,2024-10-22 20:03:59-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SIMTR_PUSH_DOWN_SENSOR,AL1000,Critical
62,MULTICAL,MULTICAL,MULTICAL,1,2024-10-22 20:01:11-04,2024-10-22 20:02:13-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,ROBOT TOOL RIGHT GRIP SET FAIL,AL0011,Critical
118,Camera-Auto,SIMCOMBINED-C2,SIMCOMBINED-C2,3,2024-10-22 20:01:13-04,2024-10-22 20:03:11-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,RIGHT OUTPUT PTR GRIP CHECK TIMEOUT,AL23005,Warning
125,EFT,MULTICAL,MULTICAL,1,2024-10-22 20:01:14-04,2024-10-22 20:03:19-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,InPP Gripper2 Head Down Fail,AL2011,Critical
87,EFT,SET_WATERPROOF_V5.0,SET_WATERPROOF_V5.0,3,2024-10-22 20:01:15-04,2024-10-22 20:02:42-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,InPP Gripper2 Head Down Fail,AL2011,Warning
52,MULTICAL,MULTICAL,MULTICAL,1,2024-10-22 20:01:25-04,2024-10-22 20:02:17-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,InPP Gripper2 Head Down Fail,AL2011,Critical
27,EFT,MULTICAL,MULTICAL,3,2024-10-22 20:01:28-04,2024-10-22 20:01:55-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SIMTR_PUSH_DOWN_SENSOR,AL1000,Warning
155,MULTICAL,MULTICAL,MULTICAL,2,2024-10-22 20:01:28-04,2024-10-22 20:04:03-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,INPUT_PTR_GRIP_SENSOR,AL0012,Critical
42,EFT,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,1,2024-10-22 20:01:31-04,2024-10-22 20:02:13-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SET INPUT CV TO LOAD CV TIME OUT,AL0013,Critical
33,AUTO-DISPLAYS,AUTO_DISPLAY-SV1,AUTO_DISPLAY-SV1,2,2024-10-22 20:01:34-04,2024-10-22 20:02:07-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,RIGHT OUTPUT PTR GRIP CHECK TIMEOUT,AL23005,Warning
48,EFT,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,1,2024-10-22 20:01:34-04,2024-10-22 20:02:22-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SIMTR_PUSH_DOWN_SENSOR,AL1000,Critical
64,MULTICAL,MULTICAL,MULTICAL,3,2024-10-22 20:01:39-04,2024-10-22 20:02:43-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SET INPUT CV TO LOAD CV TIME OUT,AL0013,Critical
101,EFT,AUTO_DISPLAY-SV1,AUTO_DISPLAY-SV1,2,2024-10-22 20:01:48-04,2024-10-22 20:03:29-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,InPP Gripper2 Head Down Fail,AL2011,Critical
105,Camera-Auto,SET_WATERPROOF_V5.0,SET_WATERPROOF_V5.0,2,2024-10-22 20:01:52-04,2024-10-22 20:03:37-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SIMTR_PUSH_DOWN_SENSOR,AL1000,Critical
192,MULTICAL,SIMCOMBINED-C2,SIMCOMBINED-C2,1,2024-10-22 20:01:56-04,2024-10-22 20:05:08-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SET INPUT CV TO LOAD CV TIME OUT,AL0013,Critical
116,AUTO-DISPLAYS,MULTICAL,MULTICAL,2,2024-10-22 20:02:00-04,2024-10-22 20:03:56-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,InPP Gripper2 Head Down Fail,AL2011,Critical
55,MULTICAL,MULTICAL,MULTICAL,1,2024-10-22 20:02:03-04,2024-10-22 20:02:58-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SET INPUT CV TO LOAD CV TIME OUT,AL0013,Critical
77,MULTICAL,MULTICAL,MULTICAL,2,2024-10-22 20:02:09-04,2024-10-22 20:03:26-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,InPP Gripper2 Head Down Fail,AL2011,Warning
99,Camera-Auto,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,3,2024-10-22 20:02:09-04,2024-10-22 20:03:48-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,INPUT_PTR_GRIP_SENSOR,AL0012,Warning
147,MULTICAL,SET_WATERPROOF_V5.0,SET_WATERPROOF_V5.0,3,2024-10-22 20:02:11-04,2024-10-22 20:04:38-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,InPP Gripper2 Head Down Fail,AL2011,Critical
31,MULTICAL,MULTICAL,MULTICAL,1,2024-10-22 20:02:12-04,2024-10-22 20:02:43-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SIMTR_PUSH_DOWN_SENSOR,AL1000,Critical
40,EFT,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,2,2024-10-22 20:02:13-04,2024-10-22 20:02:53-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SIMTR_PUSH_DOWN_SENSOR,AL1000,Critical
21,AUTO-DISPLAYS,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,1,2024-10-22 20:02:18-04,2024-10-22 20:02:39-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,ROBOT TOOL RIGHT GRIP SET FAIL,AL0011,Warning
85,MULTICAL,SET_WATERPROOF_V5.0,SET_WATERPROOF_V5.0,3,2024-10-22 20:02:22-04,2024-10-22 20:03:47-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,InPP Gripper2 Head Down Fail,AL2011,Warning
25,EFT,MULTICAL,MULTICAL,1,2024-10-22 20:02:23-04,2024-10-22 20:02:48-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,ROBOT TOOL RIGHT GRIP SET FAIL,AL0011,Warning
142,EFT,SET_WATERPROOF_V5.0,SET_WATERPROOF_V5.0,3,2024-10-22 20:02:25-04,2024-10-22 20:04:47-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SET INPUT CV TO LOAD CV TIME OUT,AL0013,Critical
59,AUTO-DISPLAYS,MULTICAL,MULTICAL,2,2024-10-22 20:02:28-04,2024-10-22 20:03:27-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,RIGHT OUTPUT PTR GRIP CHECK TIMEOUT,AL23005,Critical
73,AUTO-DISPLAYS,AUTO_DISPLAY-SV1,AUTO_DISPLAY-SV1,1,2024-10-22 20:02:32-04,2024-10-22 20:03:45-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SET INPUT CV TO LOAD CV TIME OUT,AL0013,Critical
38,MULTICAL,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,2,2024-10-22 20:02:37-04,2024-10-22 20:03:15-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,RIGHT OUTPUT PTR GRIP CHECK TIMEOUT,AL23005,Critical
43,EFT,AUTO_DISPLAY-SV1,AUTO_DISPLAY-SV1,2,2024-10-22 20:02:44-04,2024-10-22 20:03:27-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SIMTR_PUSH_DOWN_SENSOR,AL1000,Critical
239,Camera-Auto,SET_WATERPROOF_V5.0,SET_WATERPROOF_V5.0,2,2024-10-22 20:02:50-04,2024-10-22 20:06:49-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,INPUT_PTR_GRIP_SENSOR,AL0012,Critical
59,EFT,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,3,2024-10-22 20:02:50-04,2024-10-22 20:03:49-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SIMTR_PUSH_DOWN_SENSOR,AL1000,Critical
141,AUTO-DISPLAYS,SET_WATERPROOF_V5.0,SET_WATERPROOF_V5.0,2,2024-10-22 20:03:04-04,2024-10-22 20:05:25-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,InPP Gripper2 Head Down Fail,AL2011,Critical
63,AUTO-DISPLAYS,MULTICAL,MULTICAL,1,2024-10-22 20:03:06-04,2024-10-22 20:04:09-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SET INPUT CV TO LOAD CV TIME OUT,AL0013,Critical
65,AUTO-DISPLAYS,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,3,2024-10-22 20:03:17-04,2024-10-22 20:04:22-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SET INPUT CV TO LOAD CV TIME OUT,AL0013,Critical
173,Camera-Auto,SIMCOMBINED-C2,SIMCOMBINED-C2,2,2024-10-22 20:03:18-04,2024-10-22 20:06:11-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,ROBOT TOOL RIGHT GRIP SET FAIL,AL0011,Critical
33,MULTICAL,AUTO_DISPLAY-SV1,AUTO_DISPLAY-SV1,1,2024-10-22 20:03:23-04,2024-10-22 20:03:56-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SIMTR_PUSH_DOWN_SENSOR,AL1000,Warning
240,EFT,SIMCOMBINED-C2,SIMCOMBINED-C2,3,2024-10-22 20:03:24-04,2024-10-22 20:07:24-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,INPUT_PTR_GRIP_SENSOR,AL0012,Critical
43,EFT,AUTO_DISPLAY-SV1,AUTO_DISPLAY-SV1,3,2024-10-22 20:03:25-04,2024-10-22 20:04:08-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SET INPUT CV TO LOAD CV TIME OUT,AL0013,Warning
27,AUTO-DISPLAYS,AUTO_DISPLAY-SV1,AUTO_DISPLAY-SV1,1,2024-10-22 20:03:25-04,2024-10-22 20:03:52-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SIMTR_PUSH_DOWN_SENSOR,AL1000,Warning
29,Camera-Auto,MULTICAL,MULTICAL,2,2024-10-22 20:03:25-04,2024-10-22 20:03:54-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SIMTR_PUSH_DOWN_SENSOR,AL1000,Warning
197,Camera-Auto,SIMCOMBINED-C2,SIMCOMBINED-C2,3,2024-10-22 20:03:33-04,2024-10-22 20:06:50-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,ROBOT TOOL RIGHT GRIP SET FAIL,AL0011,Critical
104,MULTICAL,MULTICAL,MULTICAL,2,2024-10-22 20:03:38-04,2024-10-22 20:05:22-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,InPP Gripper2 Head Down Fail,AL2011,Critical
79,Camera-Auto,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,3,2024-10-22 20:03:39-04,2024-10-22 20:04:58-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,InPP Gripper2 Head Down Fail,AL2011,Critical
118,Camera-Auto,SIMCOMBINED-C2,SIMCOMBINED-C2,3,2024-10-22 20:03:46-04,2024-10-22 20:05:44-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,RIGHT OUTPUT PTR GRIP CHECK TIMEOUT,AL23005,Warning
129,AUTO-DISPLAYS,SET_WATERPROOF_V5.0,SET_WATERPROOF_V5.0,3,2024-10-22 20:03:52-04,2024-10-22 20:06:01-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,InPP Gripper2 Head Down Fail,AL2011,Warning
90,AUTO-DISPLAYS,SET_WATERPROOF_V5.0,SET_WATERPROOF_V5.0,1,2024-10-22 20:03:53-04,2024-10-22 20:05:23-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,ROBOT TOOL RIGHT GRIP SET FAIL,AL0011,Critical
58,Camera-Auto,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,3,2024-10-22 20:03:54-04,2024-10-22 20:04:52-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,ROBOT TOOL RIGHT GRIP SET FAIL,AL0011,Critical
124,Camera-Auto,MULTICAL,MULTICAL,2,2024-10-22 20:04:03-04,2024-10-22 20:06:07-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,INPUT_PTR_GRIP_SENSOR,AL0012,Critical
154,Camera-Auto,SIMCOMBINED-C2,SIMCOMBINED-C2,3,2024-10-22 20:04:04-04,2024-10-22 20:06:38-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SET INPUT CV TO LOAD CV TIME OUT,AL0013,Critical
46,Camera-Auto,SET_WATERPROOF_V5.0,SET_WATERPROOF_V5.0,3,2024-10-22 20:04:04-04,2024-10-22 20:04:50-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SET INPUT CV TO LOAD CV TIME OUT,AL0013,Warning
47,AUTO-DISPLAYS,MULTICAL,MULTICAL,1,2024-10-22 20:04:14-04,2024-10-22 20:05:01-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SIMTR_PUSH_DOWN_SENSOR,AL1000,Critical
123,MULTICAL,AUTO_DISPLAY-SV1,AUTO_DISPLAY-SV1,2,2024-10-22 20:04:15-04,2024-10-22 20:06:18-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,InPP Gripper2 Head Down Fail,AL2011,Critical
53,EFT,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,1,2024-10-22 20:04:17-04,2024-10-22 20:05:10-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,ROBOT TOOL RIGHT GRIP SET FAIL,AL0011,Critical
69,Camera-Auto,MULTICAL,MULTICAL,2,2024-10-22 20:04:18-04,2024-10-22 20:05:27-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,InPP Gripper2 Head Down Fail,AL2011,Critical
63,EFT,AUTO_DISPLAY-SV1,AUTO_DISPLAY-SV1,2,2024-10-22 20:04:21-04,2024-10-22 20:05:24-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SIMTR_PUSH_DOWN_SENSOR,AL1000,Critical
36,EFT,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,1,2024-10-22 20:04:27-04,2024-10-22 20:05:03-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,RIGHT OUTPUT PTR GRIP CHECK TIMEOUT,AL23005,Critical
77,AUTO-DISPLAYS,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,2,2024-10-22 20:04:28-04,2024-10-22 20:05:45-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,INPUT_PTR_GRIP_SENSOR,AL0012,Warning
145,MULTICAL,AUTO_DISPLAY-SV1,AUTO_DISPLAY-SV1,3,2024-10-22 20:04:28-04,2024-10-22 20:06:53-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,INPUT_PTR_GRIP_SENSOR,AL0012,Critical
123,Camera-Auto,SET_WATERPROOF_V5.0,SET_WATERPROOF_V5.0,3,2024-10-22 20:04:32-04,2024-10-22 20:06:35-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SIMTR_PUSH_DOWN_SENSOR,AL1000,Critical
99,Camera-Auto,SET_WATERPROOF_V5.0,SET_WATERPROOF_V5.0,1,2024-10-22 20:04:46-04,2024-10-22 20:06:25-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SIMTR_PUSH_DOWN_SENSOR,AL1000,Critical
77,AUTO-DISPLAYS,AUTO_DISPLAY-SV1,AUTO_DISPLAY-SV1,3,2024-10-22 20:04:53-04,2024-10-22 20:06:10-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,ROBOT TOOL RIGHT GRIP SET FAIL,AL0011,Critical
183,EFT,SET_WATERPROOF_V5.0,SET_WATERPROOF_V5.0,2,2024-10-22 20:04:57-04,2024-10-22 20:08:00-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,InPP Gripper2 Head Down Fail,AL2011,Critical
278,Camera-Auto,SIMCOMBINED-C2,SIMCOMBINED-C2,3,2024-10-22 20:04:58-04,2024-10-22 20:09:36-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,INPUT_PTR_GRIP_SENSOR,AL0012,Critical
168,Camera-Auto,SET_WATERPROOF_V5.0,SET_WATERPROOF_V5.0,2,2024-10-22 20:05:03-04,2024-10-22 20:07:51-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,INPUT_PTR_GRIP_SENSOR,AL0012,Critical
63,AUTO-DISPLAYS,AUTO_DISPLAY-SV1,AUTO_DISPLAY-SV1,2,2024-10-22 20:05:06-04,2024-10-22 20:06:09-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SIMTR_PUSH_DOWN_SENSOR,AL1000,Critical
100,Camera-Auto,SIMCOMBINED-C2,SIMCOMBINED-C2,2,2024-10-22 20:05:21-04,2024-10-22 20:07:01-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SET INPUT CV TO LOAD CV TIME OUT,AL0013,Warning
63,Camera-Auto,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,3,2024-10-22 20:05:22-04,2024-10-22 20:06:25-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,RIGHT OUTPUT PTR GRIP CHECK TIMEOUT,AL23005,Critical
44,EFT,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,1,2024-10-22 20:05:31-04,2024-10-22 20:06:15-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,ROBOT TOOL RIGHT GRIP SET FAIL,AL0011,Critical
43,EFT,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,2,2024-10-22 20:05:31-04,2024-10-22 20:06:14-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,ROBOT TOOL RIGHT GRIP SET FAIL,AL0011,Critical
69,MULTICAL,AUTO_DISPLAY-SV1,AUTO_DISPLAY-SV1,3,2024-10-22 20:05:33-04,2024-10-22 20:06:42-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,ROBOT TOOL RIGHT GRIP SET FAIL,AL0011,Critical
46,AUTO-DISPLAYS,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,3,2024-10-22 20:05:38-04,2024-10-22 20:06:24-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SET INPUT CV TO LOAD CV TIME OUT,AL0013,Warning
106,EFT,SIMCOMBINED-C2,SIMCOMBINED-C2,1,2024-10-22 20:05:45-04,2024-10-22 20:07:31-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,ROBOT TOOL RIGHT GRIP SET FAIL,AL0011,Warning
104,AUTO-DISPLAYS,SET_WATERPROOF_V5.0,SET_WATERPROOF_V5.0,3,2024-10-22 20:05:46-04,2024-10-22 20:07:30-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,RIGHT OUTPUT PTR GRIP CHECK TIMEOUT,AL23005,Critical
110,AUTO-DISPLAYS,MULTICAL,MULTICAL,1,2024-10-22 20:05:50-04,2024-10-22 20:07:40-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,InPP Gripper2 Head Down Fail,AL2011,Critical
120,AUTO-DISPLAYS,AUTO_DISPLAY-SV1,AUTO_DISPLAY-SV1,3,2024-10-22 20:05:50-04,2024-10-22 20:07:50-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,InPP Gripper2 Head Down Fail,AL2011,Critical
34,Camera-Auto,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,1,2024-10-22 20:05:52-04,2024-10-22 20:06:26-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SIMTR_PUSH_DOWN_SENSOR,AL1000,Critical
51,Camera-Auto,MULTICAL,MULTICAL,1,2024-10-22 20:05:53-04,2024-10-22 20:06:44-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,ROBOT TOOL RIGHT GRIP SET FAIL,AL0011,Critical
28,AUTO-DISPLAYS,MULTICAL,MULTICAL,1,2024-10-22 20:05:56-04,2024-10-22 20:06:24-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,RIGHT OUTPUT PTR GRIP CHECK TIMEOUT,AL23005,Warning
141,EFT,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,1,2024-10-22 20:06:02-04,2024-10-22 20:08:23-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,INPUT_PTR_GRIP_SENSOR,AL0012,Critical
46,MULTICAL,MULTICAL,MULTICAL,2,2024-10-22 20:06:04-04,2024-10-22 20:06:50-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,ROBOT TOOL RIGHT GRIP SET FAIL,AL0011,Critical
34,Camera-Auto,AUTO_DISPLAY-SV1,AUTO_DISPLAY-SV1,1,2024-10-22 20:06:05-04,2024-10-22 20:06:39-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SET INPUT CV TO LOAD CV TIME OUT,AL0013,Warning
158,MULTICAL,SIMCOMBINED-C2,SIMCOMBINED-C2,1,2024-10-22 20:06:25-04,2024-10-22 20:09:03-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,ROBOT TOOL RIGHT GRIP SET FAIL,AL0011,Critical
224,MULTICAL,SIMCOMBINED-C2,SIMCOMBINED-C2,3,2024-10-22 20:06:33-04,2024-10-22 20:10:17-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,INPUT_PTR_GRIP_SENSOR,AL0012,Critical
23,AUTO-DISPLAYS,Camera_LCIA_HANDLER_V1,Camera_LCIA_HANDLER_V1,1,2024-10-22 20:06:34-04,2024-10-22 20:06:57-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,ROBOT TOOL RIGHT GRIP SET FAIL,AL0011,Warning
186,EFT,SIMCOMBINED-C2,SIMCOMBINED-C2,2,2024-10-22 20:06:39-04,2024-10-22 20:09:45-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,ROBOT TOOL RIGHT GRIP SET FAIL,AL0011,Critical
86,Camera-Auto,SET_WATERPROOF_V5.0,SET_WATERPROOF_V5.0,3,2024-10-22 20:06:39-04,2024-10-22 20:08:05-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,RIGHT OUTPUT PTR GRIP CHECK TIMEOUT,AL23005,Critical
117,AUTO-DISPLAYS,MULTICAL,MULTICAL,1,2024-10-22 20:06:43-04,2024-10-22 20:08:40-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,InPP Gripper2 Head Down Fail,AL2011,Critical
201,MULTICAL,SIMCOMBINED-C2,SIMCOMBINED-C2,1,2024-10-22 20:06:47-04,2024-10-22 20:10:08-04,2024-10-23,INSPECTION 01,BLOCK INSPECTION,SET INPUT CV TO LOAD CV TIME OUT,AL0013,Critical
